"filename", "language", "Dotenv", "Python", "CSV", "Properties", "YAML", "PowerShell", "C++", "Batch", "comment", "blank", "total"
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\pgopengl.h", "C++", 0, 0, 0, 0, 0, 0, 13, 0, 3, 5, 21
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\pgplatform.h", "C++", 0, 0, 0, 0, 0, 0, 17, 0, 2, 5, 24
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\pygame.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 24, 4, 33
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\scrap.h", "C++", 0, 0, 0, 0, 0, 0, 33, 0, 99, 16, 148
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\simd_blitters.h", "C++", 0, 0, 0, 0, 0, 0, 68, 0, 10, 7, 85
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\surface.h", "C++", 0, 0, 0, 0, 0, 0, 290, 0, 31, 41, 362
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Scripts\Activate.ps1", "PowerShell", 0, 0, 0, 0, 0, 108, 0, 0, 360, 35, 503
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Scripts\activate.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 24, 1, 10, 35
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Scripts\deactivate.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 16, 0, 7, 23
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\pyvenv.cfg", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\simple_light_plot.py", "Python", 0, 24, 0, 0, 0, 0, 0, 0, 5, 9, 38
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\version_check.py", "Python", 0, 91, 0, 0, 0, 0, 0, 0, 48, 21, 160
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\wave_model.py", "Python", 0, 70, 0, 0, 0, 0, 0, 0, 6, 20, 96
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\wave_model1.py", "Python", 0, 82, 0, 0, 0, 0, 0, 0, 7, 20, 109
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\wind_model.py", "Python", 0, 63, 0, 0, 0, 0, 0, 0, 14, 18, 95
"Total", "-", 1, 7220, 90563, 5, 35, 108, 5053, 40, 4993, 3603, 111621
