;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-03-25_12:20:18:806988;1742901618.8069885;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901618.6963308;0.1106576919555664;0.0;0.0;0.0;-0.0;452.290046838406;952.5929724097127;-20.0;-26.29999999999994;33.04073243740212;-2.2209559328252926;0.0;-135.1144039925892;-33.73395782866845;-20.0;-26.44999999999994
2025-03-25_12:20:18:917039;1742901618.9160395;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901618.8069885;0.10905098915100098;0.0;0.0;0.0;-0.0;456.86844233567155;954.326265072234;-20.0;-26.44999999999994;33.1602548241113;-2.21821780151091;0.0;-136.02177723365062;-33.692814870720916;-20.0;-26.599999999999937
2025-03-25_12:20:19:027564;1742901619.026565;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901618.9160395;0.11052560806274414;0.0;0.0;0.0;-0.0;461.4075071982567;956.0583540361954;-20.0;-26.599999999999937;33.28002403845281;-2.215499358086332;0.0;-136.9302846045766;-33.651579764206666;-20.0;-26.749999999999936
2025-03-25_12:20:19:135666;1742901619.134665;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901619.026565;0.10809993743896484;0.0;0.0;0.0;-0.0;465.9035459467133;957.7915640589356;-20.0;-26.749999999999936;33.40003742512868;-2.2128004307184335;0.0;-137.83991712823067;-33.61068232091938;-20.0;-26.899999999999935
2025-03-25_12:20:19:244208;1742901619.244208;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901619.134665;0.1095430850982666;0.0;0.0;0.0;-0.0;470.3588891667218;959.5253131836487;-20.0;-26.899999999999935;33.52029236149345;-2.2101208488951185;0.0;-138.75066588472197;-33.57001998164631;-20.0;-27.049999999999933
2025-03-25_12:20:19:352885;1742901619.3518877;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901619.244208;0.10767960548400879;0.0;0.0;0.0;-0.0;474.77545408640594;961.2591794788291;-20.0;-27.049999999999933;33.640786257161054;-2.207460443428647;0.0;-139.66252201184457;-33.52951892128271;-20.0;-27.199999999999932
2025-03-25_12:20:19:461978;1742901619.4609804;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901619.3518877;0.10909271240234375;0.0;0.0;0.0;-0.0;479.1380570806463;963.0012129470784;-20.0;-27.199999999999932;33.761516553614655;-2.20481904645832;0.0;-140.57547670548016;-33.490670981828806;-20.0;-27.34999999999993
2025-03-25_12:20:19:571051;1742901619.5710511;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901619.4609804;0.11007070541381836;0.0;0.0;0.0;-0.0;483.4781779570032;964.7362886075445;-20.0;-27.34999999999993;33.88248072381944;-2.2021964914525483;0.0;-141.48952121996493;-33.450686503485144;-20.0;-27.49999999999993
2025-03-25_12:20:19:682184;1742901619.6821842;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901619.5710511;0.11113309860229492;0.0;0.0;0.0;-0.0;487.76799754753284;966.4787502677899;-20.0;-27.49999999999993;34.00367627183855;-2.199592613210331;0.0;-142.40464686842293;-33.41222334914713;-20.0;-27.649999999999928
2025-03-25_12:20:19:790948;1742901619.7909484;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901619.6821842;0.1087641716003418;0.0;0.0;0.0;-0.0;492.04070559960365;968.2123238256704;-20.0;-27.649999999999928;34.125100732452;-2.1970072478621607;0.0;-143.32084502306668;-33.37226733901763;-20.0;-27.799999999999926
