"filename", "language", "Python", "YAML", "Dotenv", "Properties", "CSV", "Batch", "C++", "PowerShell", "comment", "blank", "total"
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_surge_velocity.py", "Python", 96, 0, 0, 0, 0, 0, 0, 0, 17, 33, 146
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_thruster_speed.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 1, 26, 60
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_yaw_velocity.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 1, 27, 58
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\animate.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 0, 28, 73
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\log.csv", "CSV", 0, 0, 0, 0, 776, 0, 0, 0, 0, 1, 777
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\nmpc1_stationkeeping.csv", "CSV", 0, 0, 0, 0, 997, 0, 0, 0, 0, 1, 998
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\nmpc1_straightline.csv", "CSV", 0, 0, 0, 0, 383, 0, 0, 0, 0, 1, 384
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\nmpc2_station_circling2m.csv", "CSV", 0, 0, 0, 0, 1216, 0, 0, 0, 0, 1, 1217
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\nmpc_straight_080526.csv", "CSV", 0, 0, 0, 0, 330, 0, 0, 0, 0, 1, 331
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\20260511_160516\sim_log_NMPC.csv", "CSV", 0, 0, 0, 0, 5002, 0, 0, 0, 0, 1, 5003
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\20260511_160654\sim_log_NMPC.csv", "CSV", 0, 0, 0, 0, 5002, 0, 0, 0, 0, 1, 5003
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\20260511_160916\sim_log_NMPC.csv", "CSV", 0, 0, 0, 0, 5002, 0, 0, 0, 0, 1, 5003
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\20260511_161039\sim_log_NMPC.csv", "CSV", 0, 0, 0, 0, 5002, 0, 0, 0, 0, 1, 5003
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\20260511_161213\sim_log_NMPC.csv", "CSV", 0, 0, 0, 0, 5002, 0, 0, 0, 0, 1, 5003
