"filename", "language", "Python", "CSV", "Dotenv", "YAML", "Properties", "PowerShell", "Batch", "C++", "comment", "blank", "total"
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_thruster_speed.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 1, 26, 60
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_yaw_velocity.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 1, 27, 58
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\animate.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 0, 28, 73
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\log.csv", "CSV", 0, 776, 0, 0, 0, 0, 0, 0, 0, 1, 777
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\drl_sim_logs\sim_log_DRL.csv", "CSV", 0, 2669, 0, 0, 0, 0, 0, 0, 0, 1, 2670
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\nmpc_sim_logs\sim_log_nmpc.csv", "CSV", 0, 13335, 0, 0, 0, 0, 0, 0, 0, 1, 13336
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\pid_sim_logs\sim_log_PID.csv", "CSV", 0, 13335, 0, 0, 0, 0, 0, 0, 0, 1, 13336
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\test.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 3, 4, 11
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\main.py", "Python", 342, 0, 0, 0, 0, 0, 0, 0, 32, 114, 488
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\monte_carlo_results.csv", "CSV", 0, 48, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\_blit_info.h", "C++", 0, 0, 0, 0, 0, 0, 0, 19, 1, 2, 22
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\_camera.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 18, 4, 27
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\_pygame.h", "C++", 0, 0, 0, 0, 0, 0, 0, 244, 88, 43, 375
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\_surface.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 22, 4, 31
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\camera.h", "C++", 0, 0, 0, 0, 0, 0, 0, 173, 26, 20, 219
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\font.h", "C++", 0, 0, 0, 0, 0, 0, 0, 9, 1, 6, 16
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\freetype.h", "C++", 0, 0, 0, 0, 0, 0, 0, 67, 29, 19, 115
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\_pygame.h", "C++", 0, 0, 0, 0, 0, 0, 0, 322, 503, 125, 950
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\bitmask.h", "C++", 0, 0, 0, 0, 0, 0, 0, 80, 66, 26, 172
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pgcompat.h", "C++", 0, 0, 0, 0, 0, 0, 0, 75, 3, 25, 103
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pgimport.h", "C++", 0, 0, 0, 0, 0, 0, 0, 38, 15, 15, 68
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pgplatform.h", "C++", 0, 0, 0, 0, 0, 0, 0, 63, 9, 12, 84
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pygame.h", "C++", 0, 0, 0, 0, 0, 0, 0, 4, 27, 4, 35
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pygame_bufferproxy.h", "C++", 0, 0, 0, 0, 0, 0, 0, 19, 23, 15, 57
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pygame_font.h", "C++", 0, 0, 0, 0, 0, 0, 0, 17, 22, 12, 51
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pygame_freetype.h", "C++", 0, 0, 0, 0, 0, 0, 0, 14, 19, 10, 43
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pygame_mask.h", "C++", 0, 0, 0, 0, 0, 0, 0, 17, 17, 12, 46
